,책제목,artist,song_name,id,spotify_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood
99,인간실격,조영욱,편지 (친절한 금자씨 ost),71zgzDWBaSpFZuflwRfVJD,Cho Young Wook,0.675,0.268,0.0,-16.103,0.0,0.0376,0.609,0.942,0.119,0.526,124.998,"['sadness', 'empty']"
100,인간실격,S.A. Karl,Aldebaran,7BbUNLqsUWQAM0QUNoFZWs,S.A. Karl,0.39,0.0434,2.0,-22.244,1.0,0.0543,0.993,0.938,0.108,0.255,163.797,"['sadness', 'empty']"
101,인간실격,Abel Korzeniowski,"Table For Two""",20vEB3It4xYzKHlMecu6X1,Abel Korzeniowski,0.199,0.133,10.0,-15.992,0.0,0.0379,0.914,0.868,0.278,0.0388,132.028,"['sadness', 'empty']"
102,분노의 질주,"Kid lnk,Tyga, wale,YG, Rich homie Quan",Ride out,59PL9AwYjIrIpP04n9gmMR,Kid Ink,0.696,0.801,5.0,-5.641,0.0,0.0952,0.0469,0.0,0.502,0.536,93.003,['anger']
103,분노의 질주,Wiz Khalifa & lggy Azalea,Go Hard or Go home,2QJnTfMpNG05KFf2E3gVIJ,Wiz Khalifa,0.651,0.741,4.0,-5.067,0.0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02,['anger']
104,분노의 질주,Flo Rida,GDFR (remix),26rdOwwjC2UnweK3xeS58u,Flo Rida,0.657,0.827,5.0,-4.036,1.0,0.0734,0.000704,0.00534,0.065,0.69,145.889,['anger']
105,헝거 게임,Sia,elastic heart,0udoMICxzaUbNUT8EVRq8B,Sia,0.44,0.306,9.0,-5.403,1.0,0.0377,0.903,0.0,0.0888,0.25,71.021,"['anger', 'worry']"
106,반지의 제왕,Howard Shore,Evenstar,1TQKEwq4y9SkNciJuisE1m,Howard Shore,0.122,0.0407,4.0,-26.194,0.0,0.0457,0.96,0.847,0.104,0.0342,74.418,"['enthusiasm', 'worry']"
107,토이스토리,Randy Newman,You've Got a Friend in Me,2stkLJ0JNcXkIRDNF3ld6c,Randy Newman,0.689,0.333,0.0,-12.134,0.0,0.0307,0.817,5.13e-06,0.285,0.471,115.835,"['fun', 'love', 'happiness']"
108,쿵푸 팬더,Cee-Lo Green,Kung Fu Fighting,7eGAQnxbIHHFtS1p9rmAZ0,CeeLo Green,0.681,0.666,4.0,-10.905,0.0,0.0995,0.015,0.0,0.34,0.239,110.016,"['fun', 'enthusiasm']"
109,테이큰,Ghinzu,The Dragster Wave,3w0AsliIPXqqstBSfQ8Rym,Ghinzu,0.326,0.47,10.0,-8.351,1.0,0.0325,0.6,0.188,0.118,0.119,82.001,"['anger', 'sadness', 'worry']"
110,아메리칸 뷰티,Thomas Newman,Any Other Name,33B1XmfncHqnfkrYZIcHbD,Thomas Newman,0.304,0.0116,7.0,-33.19,0.0,0.0337,0.983,0.963,0.104,0.0364,77.84,"['boredom', 'empty', 'sadness']"
