,책제목,artist,song_name,id,spotify_artist,O
100,잊었던 용기,Yutaka Hirasaka,amaretto,5Oje3rq0K9GSyvlWlOmjoG,yutaka hirasaka,O
101,잊었던 용기,HWANJI,여정,6uDF3NUIKSpEcPHKrTKoIA,SeeYa,X
102,잊었던 용기,RADWIMPS,Theme of mitsuha,66HNv8qd9jr7q5P9nNTOOZ,RADWIMPS,O
103,잊었던 용기,Raujika,Pastoral,0cPrPXrM1bKISuj7Hp9rj6,Raujika,O
104,잊었던 용기,Zmi,Tamayura,6D1oM53Za4jzNEJ1NAcmfZ,Zmi,O
105,잊었던 용기,Hideyuki Hashimoto,asa,48Jivh6jAj87eK6lj3FtUo,Hideyuki Hashimoto,O
106,잊었던 용기,전진희,Dawn Snow,6HgeeiHqVpxxFCB0bjBRT6,Jung Seung Hwan,X
107,잊었던 용기,Hideyuki Hashimoto,improvisation - prelude,6KysOR1ueeYL2Z2cDDj4EZ,Hideyuki Hashimoto,O
108,잊었던 용기,심현정,A Werewolf Boy'],6HgeeiHqVpxxFCB0bjBRT6,Jung Seung Hwan,X
109,다른 삶,Over the Rainbow,Joey Alexander,5ocuRCDSWiUMZcWI4Utd9g,Cooliecut,X
110,다른 삶,Tobias Wilden,Eye Contact,37bPydtyElNj0AERSVzGMM,Jay Beckenstein,X
111,다른 삶,Tobias Wilden,About Isolation / Ripples,0kijSPgMw8MJ6DTUAg7cTp,Tomas Wilhelm,O
112,다른 삶,Tobias Wilden,Blue Hour,0fChhiJLvduCBLy1gyTWBI,Ruby Haunt,X
113,다른 삶,Thomas Ades,Colette,7IyjWrw7SQHeGlPObJdqPQ,Thomas Ades,X
114,다른 삶,이루마,Passing By,0Djo0n7aIXn4osnK2U5YNH,Yiruma,O
115,다른 삶,Joep Beving,Reflection #2,3PEUNWxaEJwHRK9Q2Jx9Eg,Joep Beving,O
116,다른 삶,Olafur Arnalds,Only The Winds,5i4FBbWB1J2c6RqZ4msUJ7,Olafur Arnalds,O
117,다른 삶,Joep Beving,Into the Dark Blue,1ZC21hJb2GASRkaoZvUcCS,Joep Beving,O
118,다른 삶,지금의계절,지극히 사소한 고독,42cwRiFR25LYJG6CCsjWo9,Kim Kwang Seok,X
119,다른 삶,Tobias Wilden,Adrift,5YSuL0DghKoZ1OzYzlzsID,Attom,X
120,다른 삶,JUNJO,Ivory,4F8FtOWSa286XpVEeB8pWm,juno,X
121,다른 삶,Iwamura Ry uta,Rio,1hc0G2VMFmkqI0JnW5Zbjh,?葉曇,X
122,다른 삶,정재형,오솔길,4kfy9lfHix9NxY8WZIPiR9,Jang Hyeon,X
123,다른 삶,52: 18 모그,Waltz For Mother,01Lv5YnZl96AjZju2KWu63,Kristian Hart Trio,X
124,다른 삶,Thomas Newman,Brooks Was Here(쇼생크 탈출 ost)',5FRGTGPZ7uA6JaLAH55PVV,Thomas Newman,O
125,당연한 하루는 없다,Thomas Ades,Colette,2Ran0ZJ57DVKtF8MZcwxFI,Thomas Ades,O
126,당연한 하루는 없다,김윤아,언젠가는,6Zp1H3TcEITJOrOmepA64b,Kim Yuna,O
127,당연한 하루는 없다,김윤아,꿈갈피,51our4AVCwd3KhRHSQoV1P,김정호,X
128,당연한 하루는 없다,The Soundtrackings,기다리다,3k3l7y7fYGyUSmss5SCTNG,발라드가수들,X
129,당연한 하루는 없다,Haneda Ryoko,Winter Dream,5s8gFtb7xfYZAaPAgTSJuz,Harmony Night,X
130,당연한 하루는 없다,나츠메 우인장 OST,Ito Wa Kanashi (피달소 Piano Cover),04lNqiVAQGZs1RQri0OxfS,Cat Trumpet,X
131,당연한 하루는 없다,Haneda Ryoko,When The First..,,,X
132,당연한 하루는 없다,김현철,시월애,5BKRpouE6rMJiSIa3rlUGu,Kim Hyunshik,X
133,당연한 하루는 없다,나츠메 우인장 OST,Furusato no Nioi (피달소 Piano Cover),6YKAg12rT0DHlljoU5q6g6,Cat Trumpet,X
134,당연한 하루는 없다,오준성,In Memories,5TptH8AKtJHRx21Wa4AX2k,Oh Joon Sung,O
135,당연한 하루는 없다,이남연,Warmhearted,3qvnPJQgq7OdcKthG1p6cV,Kim Haewon,X
136,당연한 하루는 없다,이병우,우리,,,X
137,당연한 하루는 없다,Haneda Ryoko,Rainy Birthday,4dvGwDLx4ZB7JAPGPcbcik,ZOD1AC,X
138,당연한 하루는 없다,김형석,자장가,0N8DGbZTroj2jgO5Rur6hR,김정수,X
139,당연한 하루는 없다,Quruli,Tsuneoto Zyoze,4f8WSEjfvrozyovxlW1BUY,Fuya Hisamori,X
140,당연한 하루는 없다,최유미,Main Theme,0nsIi8do34jaxhKI8C6QLP,MIYEON,X
141,당연한 하루는 없다,김윤아,슬픔도 지나고 나면,3STdUpGerZHa1cqgCNsToV,Kim Yoon,X
142,당연한 하루는 없다,김형석,"눈이 부시게""]",5BKRpouE6rMJiSIa3rlUGu,Kim Hyunshik,X
143,엉망인 채 완전한 축제,sonicbrat,A Matter of Time,3IuxYZUQ6J9yfqcVtk5h6b,Vandelux,X
144,엉망인 채 완전한 축제,Dustin O'Halloran,01 opus 20,7927IbXHiYrlZkAikPsi3X,Dustin O'Halloran,O
145,엉망인 채 완전한 축제,Chris Zabriskie,The Temperature of the Air on the Bow of the Kaleetan,5CXDqIQkkpzvAihxUu2X7J,Chris Zabriskie,O
146,엉망인 채 완전한 축제,Nils Frahm,Familiar,5Yy0R2CLFPXfrBPLnsI1zN,Nils Frahm,O
147,엉망인 채 완전한 축제,Eydis Evensen,Stormasamt Kvold,1XPUfZx0Nhl7Tl1AT2LKos,Eydis Evensen,O
148,엉망인 채 완전한 축제,Eydis Evensen,Brotin,1ByjUtjfHISyPBH1m4uhvT,Eydis Evensen,O
149,엉망인 채 완전한 축제,Olafur Arnalds,re:member,5RqKo9P4DLA0bVyY70cWkr,Olafur Arnalds,O
150,엉망인 채 완전한 축제,Ola Gjeilo,"Gjeilo: Before Dawn""",5YZHOENY8KssNQObXoMPy3,Ola Gjeilo,O
151,그림자의 위로,BWV 988,Aria - Lang Lang,4GFuyvrYOQYDS497hffJXT,Johann Sebastian Bach,X
152,그림자의 위로,Op.56,1. Berceuse - Katia Labeque · Marielle Labeque,3NbAsIxDL0fVgNuCLD152P,Gabriel Faure,X
153,그림자의 위로,Op. 57,Maurizio Pollini,10SzxcRqXfcJIlKKZlg1CP,Frederic Chopin,X
154,그림자의 위로,BWV 106,2a. Gottes Zeit,7ANhXB1OJBaTb7kDoAJRLq,Johann Sebastian Bach,X
155,그림자의 위로,ist die allerbeste Zeit (Arr. For Piano Four Hands by Gyorgy Kurtag),Lucas Jussen · Arthur Jussen,4JWVkr5jUjylM3hMG5zvXw,Johann Sebastian Bach,X
156,그림자의 위로,Einaudi: Ascent (Day 7),Ludovico Einaudi,5U87k9mIyu2sGQppcqV4Dw,Ludovico Einaudi,X
157,그림자의 위로,Mignone: Valse Elegante,Nelson Freire,74qkaW0o696hToQMvuVuUg,Johannes Brahms,X
158,그림자의 위로,Op. 3,No. 2 Prelude In C-Sharp Minor - Anatol Ugorski,3rd1Chqzxr95fcyBaJl0JZ,Sergei Rachmaninoff,X
159,그림자의 위로,Op. 54,No. 4 Notturno - Emil Gilels,2jwIuwH3Lplkk747r7T0nn,Edvard Grieg,X
160,그림자의 위로,BWV 846-869,I. Prelude in C Major,2nbMCBBmKc3B6A30jYPmpD,Johann Sebastian Bach,X
161,그림자의 위로,BWV 846,Lang Lang,211zXouX3GROvKvaoasR6V,Lang Lang,X
162,그림자의 위로,Op. 15,7. Traumerei - Vladimir Horowitz,1AAC58zOWhRn1XBNMlXLzy,Robert Schumann,X
163,그림자의 위로,Richter: Mercy,Max Richter,4gmhjAsvL6c7se2PBh7dHw,Max Richter,X
164,그림자의 위로,Op. 39,For Piano Duet - 15. In A Major - Aloys Kontarsky · Alfons Kontarsky,38VBVYxGlIU3HbIYw2ObnM,Johannes Brahms,X
165,그림자의 위로,M. 19,Alice Sara Ott',3dpfBv3mZJLPSX8Zjer7un,Maurice Ravel,X
166,꿀벌과 천둥,Op.23,조성진,2R9rCnnSkSffuKZx2U3hLJ,Jo Sung Mo,X
167,꿀벌과 천둥,바흐 : 평균율 클라비어곡집 제 1권 BWV 846,프렐류드 - Glenn Gould,7Aw2j9reBy7YeXiqBHvjhE,Johann Sebastian Bach,X
168,꿀벌과 천둥,Op.10 No.1,조성진,2R9rCnnSkSffuKZx2U3hLJ,Jo Sung Mo,X
169,꿀벌과 천둥,K. 332 1악장 Allegro,Glenn Gould,6uTCvFRE00RsW3AUf39Evn,Domenico Scarlatti,X
170,꿀벌과 천둥,브람스 : 파가니니 주제에 의한 변주곡 Op. 35 제 1권,테마 - Evgeny Kissin,6LGL8gQPQv3bMaT4ocVTsm,Frederic Chopin,X
171,꿀벌과 천둥,브람스 : 파가니니 주제에 의한 변주곡 Op. 35 제 1권,제1변주 - Evgeny Kissin,6LGL8gQPQv3bMaT4ocVTsm,Frederic Chopin,X
172,꿀벌과 천둥,Op.11-1 (Allegro maestoso),조성진,2R9rCnnSkSffuKZx2U3hLJ,Jo Sung Mo,X
173,꿀벌과 천둥,No. 5 '흑건',Ikuyo Nakamichi,2MGSgGtpyKTjr7tY0pefZ8,Kikuo,X
174,꿀벌과 천둥,Op.38,조성진,2R9rCnnSkSffuKZx2U3hLJ,Jo Sung Mo,X
