,id,url,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
88,2kYpPAekg0r1hHtfmi1f0V,https://open.spotify.com/track/2kYpPAekg0r1hHtfmi1f0V,Myke Towers,0.884,0.718,1.0,-3.002,1.0,0.1,0.478,0.000388,0.0986,0.723,104.053
89,4EuHUvcXfXxb0rYBgmN413,https://open.spotify.com/track/4EuHUvcXfXxb0rYBgmN413,Myke Towers,0.858,0.743,5.0,-5.313,0.0,0.0845,0.0401,0.000191,0.099,0.906,110.024
90,1EOyHhh5uOwNrDhiUNnH2u,https://open.spotify.com/track/1EOyHhh5uOwNrDhiUNnH2u,Myke Towers,0.714,0.725,7.0,-5.548,1.0,0.205,0.111,0.0,0.0892,0.589,89.972
91,5SjaZNwy1DpttK1lLk1r3j,https://open.spotify.com/track/5SjaZNwy1DpttK1lLk1r3j,Myke Towers,0.79,0.606,4.0,-6.142,0.0,0.0463,0.0633,0.0,0.0808,0.763,117.947
92,3Rdqhtt2srhdV5n0hPwveI,https://open.spotify.com/track/3Rdqhtt2srhdV5n0hPwveI,Myke Towers,0.801,0.79,6.0,-4.132,0.0,0.0672,0.199,1.76e-06,0.13,0.638,97.931
93,3LlFkrG9XT36U0dxiD6e0b,https://open.spotify.com/track/3LlFkrG9XT36U0dxiD6e0b,Myke Towers,0.783,0.734,1.0,-4.796,0.0,0.0463,0.433,0.0,0.133,0.682,119.986
94,5jsIhWqqJ2sw3oNPVPnK9Y,https://open.spotify.com/track/5jsIhWqqJ2sw3oNPVPnK9Y,Myke Towers,0.774,0.776,8.0,-5.361,0.0,0.136,0.276,5.34e-06,0.11,0.881,151.958
95,7ffrqpG2Q6FaxtSUhgiLhM,https://open.spotify.com/track/7ffrqpG2Q6FaxtSUhgiLhM,Myke Towers,0.702,0.666,6.0,-4.686,1.0,0.125,0.0734,1.69e-05,0.182,0.846,176.18
96,6L2vbBkuVeq8Lnl9nigS8k,https://open.spotify.com/track/6L2vbBkuVeq8Lnl9nigS8k,Myke Towers,0.847,0.609,2.0,-3.314,0.0,0.0668,0.184,0.000236,0.141,0.551,93.983
97,63TolxqG0C6bNh23Ht4jHf,https://open.spotify.com/track/63TolxqG0C6bNh23Ht4jHf,Myke Towers,0.694,0.83,0.0,-3.286,0.0,0.103,0.147,1.16e-05,0.0826,0.708,173.867
98,3Z0l8qwMuC376pcutLVsY8,https://open.spotify.com/track/3Z0l8qwMuC376pcutLVsY8,Myke Towers,0.865,0.785,4.0,-4.132,0.0,0.12,0.0465,3.51e-06,0.11,0.36,92.027
99,4qdaqybEKlRHZnI6RoDFmt,https://open.spotify.com/track/4qdaqybEKlRHZnI6RoDFmt,Myke Towers,0.853,0.531,1.0,-6.841,1.0,0.202,0.568,0.0,0.123,0.377,95.018
100,6wTX1zUPc2qdQnDZnVhuoV,https://open.spotify.com/track/6wTX1zUPc2qdQnDZnVhuoV,Myke Towers,0.657,0.785,10.0,-6.04,0.0,0.137,0.382,0.000228,0.218,0.569,179.936
101,52BBXEWltdMGJZidf3PF17,https://open.spotify.com/track/52BBXEWltdMGJZidf3PF17,Myke Towers,0.655,0.692,8.0,-4.697,1.0,0.263,0.316,0.0301,0.141,0.496,102.055
102,2x2RrrEVDwCyMF2XnHAHVB,https://open.spotify.com/track/2x2RrrEVDwCyMF2XnHAHVB,Myke Towers,0.723,0.829,1.0,-3.753,0.0,0.0795,0.396,1.53e-06,0.156,0.893,164.04
103,5IpXQFmVvs7EnT90fhduno,https://open.spotify.com/track/5IpXQFmVvs7EnT90fhduno,Myke Towers,0.934,0.764,7.0,-3.526,0.0,0.0629,0.0537,0.00199,0.235,0.667,98.013
104,7ABLbnD53cQK00mhcaOUVG,https://open.spotify.com/track/7ABLbnD53cQK00mhcaOUVG,Myke Towers,0.708,0.737,1.0,-4.045,1.0,0.0436,0.0739,0.00162,0.0955,0.607,91.986
105,1CAES9vrn9NdldxARlfSUM,https://open.spotify.com/track/1CAES9vrn9NdldxARlfSUM,Myke Towers,0.81,0.635,4.0,-6.953,0.0,0.0585,0.0964,0.0,0.114,0.252,126.071
106,1h0rVgfuKa6V9DkVSLAc4Q,https://open.spotify.com/track/1h0rVgfuKa6V9DkVSLAc4Q,Gunna,0.742,0.543,8.0,-8.77,0.0,0.211,0.125,0.0,0.237,0.407,129.091
107,3OGCNLxpBmTYRxPZg2yDE5,https://open.spotify.com/track/3OGCNLxpBmTYRxPZg2yDE5,Gunna,0.767,0.662,5.0,-4.856,0.0,0.0578,0.103,0.0,0.123,0.259,143.943
108,7MLGkncjEGTfKHpNa5UgCQ,https://open.spotify.com/track/7MLGkncjEGTfKHpNa5UgCQ,Gunna,0.395,0.667,5.0,-5.237,0.0,0.215,0.262,0.0,0.0858,0.368,79.905
109,5XpwulllkqoHEk0jpwvRlJ,https://open.spotify.com/track/5XpwulllkqoHEk0jpwvRlJ,Gunna,0.653,0.583,0.0,-4.462,0.0,0.348,0.465,0.0,0.193,0.846,82.63
110,48rsYvIQXUAtxcmIoStOaM,https://open.spotify.com/track/48rsYvIQXUAtxcmIoStOaM,Gunna,0.795,0.55,7.0,-5.704,0.0,0.0882,0.123,0.0,0.0873,0.152,119.975
111,4rXLjWdF2ZZpXCVTfWcshS,https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS,Gunna,0.847,0.622,1.0,-6.747,0.0,0.0903,0.119,0.0,0.285,0.22,130.001
112,2rjv9fXzpZDbB6lEeIoB3l,https://open.spotify.com/track/2rjv9fXzpZDbB6lEeIoB3l,Gunna,0.8,0.754,1.0,-5.259,0.0,0.216,0.0668,0.0,0.278,0.334,134.136
113,6WKh2qSTswuv8QG60Wu29F,https://open.spotify.com/track/6WKh2qSTswuv8QG60Wu29F,Gunna,0.926,0.57,10.0,-5.226,0.0,0.047,0.0551,0.00134,0.109,0.232,130.011
114,2k2Z7yadTBdOM8oObjzslj,https://open.spotify.com/track/2k2Z7yadTBdOM8oObjzslj,Gunna,0.894,0.533,1.0,-7.861,0.0,0.412,0.124,0.0,0.109,0.392,120.031
115,3NNgZSXHElKHPpkCxsP8WB,https://open.spotify.com/track/3NNgZSXHElKHPpkCxsP8WB,Gunna,0.582,0.823,6.0,-4.82,1.0,0.417,0.308,0.0,0.224,0.422,169.861
116,6YD8EpsddOfEwAhaymGu0Q,https://open.spotify.com/track/6YD8EpsddOfEwAhaymGu0Q,Gunna,0.827,0.541,6.0,-7.109,1.0,0.0539,0.516,0.0,0.107,0.584,132.988
117,7IqsNN0EMckx9YqddgXlwg,https://open.spotify.com/track/7IqsNN0EMckx9YqddgXlwg,Gunna,0.781,0.649,9.0,-4.294,0.0,0.247,0.111,0.0,0.111,0.134,85.063
118,7Aq3pnhSzI8FnHt7T6TPsX,https://open.spotify.com/track/7Aq3pnhSzI8FnHt7T6TPsX,Gunna,0.519,0.649,6.0,-5.502,1.0,0.112,0.486,0.0,0.104,0.541,106.379
119,5QG0l8nybp5rLMo7saQHl2,https://open.spotify.com/track/5QG0l8nybp5rLMo7saQHl2,Gunna,0.528,0.568,2.0,-6.415,1.0,0.436,0.567,0.0,0.0955,0.4,82.946
120,4zivXJkUD87842VhywHGFn,https://open.spotify.com/track/4zivXJkUD87842VhywHGFn,Gunna,0.646,0.594,3.0,-6.208,0.0,0.104,0.798,0.0,0.104,0.813,159.877
121,3BKD1PwArikchz2Zrlp1qi,https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi,David Guetta,0.602,0.91,7.0,-3.404,1.0,0.0308,0.00126,0.000174,0.12,0.228,127.944
122,1VtuJxH7jkcOWlcGdQdMRh,https://open.spotify.com/track/1VtuJxH7jkcOWlcGdQdMRh,David Guetta,0.683,0.941,7.0,-3.996,1.0,0.0305,0.000219,0.00508,0.036,0.161,127.987
