,id,url,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
64,1yOc6FBOVD6zBwOMxiSEEv,https://open.spotify.com/track/1yOc6FBOVD6zBwOMxiSEEv,Glass Animals,0.289,0.307,4.0,-16.036,1.0,0.0452,0.854,0.275,0.255,0.0477,96.516,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
65,3hxIUxnT27p5WcmjGUXNwx,https://open.spotify.com/track/3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,0.485,0.409,9.0,-10.711,0.0,0.101,0.325,0.0,0.103,0.376,138.419,['modern indie pop']
66,3cWmqvMwVQKDigWLSZ3w9h,https://open.spotify.com/track/3cWmqvMwVQKDigWLSZ3w9h,Playboi Carti,0.773,0.612,8.0,-5.73,1.0,0.232,0.0398,0.0,0.142,0.381,149.999,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
67,0F13K9dwYH2zpTWiR8d628,https://open.spotify.com/track/0F13K9dwYH2zpTWiR8d628,Playboi Carti,0.693,0.434,4.0,-8.786,0.0,0.385,0.204,0.0,0.277,0.542,147.066,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
68,2lLG56qpLP3UbcLuzMvkWX,https://open.spotify.com/track/2lLG56qpLP3UbcLuzMvkWX,Playboi Carti,0.856,0.57,9.0,-4.486,1.0,0.286,0.00637,0.0,0.0984,0.155,154.967,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
69,4CYTQpr2jc4uBScYvpEK2w,https://open.spotify.com/track/4CYTQpr2jc4uBScYvpEK2w,Playboi Carti,0.923,0.562,1.0,-7.357,1.0,0.304,0.0213,0.0,0.0726,0.499,144.067,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
70,0cgD36xPIJBdKUNJRHYDgP,https://open.spotify.com/track/0cgD36xPIJBdKUNJRHYDgP,Playboi Carti,0.87,0.461,1.0,-5.786,1.0,0.201,0.00456,0.0,0.11,0.485,144.053,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
71,7zLMYtNJcabv4h4wBnjNQI,https://open.spotify.com/track/7zLMYtNJcabv4h4wBnjNQI,Playboi Carti,0.657,0.604,0.0,-6.045,1.0,0.0374,0.0213,0.0,0.156,0.122,73.933,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
72,1eMNW1HQjF1dbb4GtnmpaX,https://open.spotify.com/track/1eMNW1HQjF1dbb4GtnmpaX,Playboi Carti,0.885,0.661,4.0,-5.062,0.0,0.141,0.165,0.0,0.334,0.436,140.028,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
73,6i6whmV36EJmxs5zFahMrb,https://open.spotify.com/track/6i6whmV36EJmxs5zFahMrb,Playboi Carti,0.719,0.852,0.0,-5.232,1.0,0.149,0.024,0.0,0.123,0.432,151.867,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
